date,vaccination_ratio,reproduction_rate,stringency_index,positive_rate
2021-06-22,0.25647402256820606,0.8860640433992129,51.86896869619885,0.08357292174912907
2021-06-23,0.2580154735776626,0.887334682389727,51.790031381884575,0.0828864249093204
2021-06-24,0.25955692458711904,0.8889731789040445,51.77178149640008,0.08328163588913441
2021-06-25,0.2610983755965755,0.8896093451458951,51.611656681913246,0.0831732191400699
2021-06-26,0.26263982660603197,0.8884400839027397,51.57748121423973,0.08319883976087877
2021-06-27,0.2641812776154885,0.8870124449864994,51.52089883175907,0.08289370980036861
2021-06-28,0.26572272862494495,0.884561801248826,51.50646071451024,0.0826084121604782
2021-06-29,0.2672641796344014,0.8829391454425451,51.48171780096268,0.08146551084709827
2021-06-30,0.2688056306438579,0.8818416725982406,51.39600124564632,0.08137540836193066
2021-07-01,0.2703470816533144,0.8814643231315454,51.44209680655322,0.08152940903375429
2021-07-02,0.27188853266277085,0.8816682048879461,51.437497020415606,0.08128586389764568
2021-07-03,0.2734299836722273,0.882286817634324,51.52207340417987,0.08111422127504977
2021-07-04,0.2749714346816838,0.8830188157442886,51.49186182438827,0.08121633843577213
2021-07-05,0.2765128856911403,0.8840507961972169,51.412924510074,0.08052995636526955
2021-07-06,0.27805433670059676,0.8855713317833749,51.394674624589506,0.08092521896704549
2021-07-07,0.2795957877100532,0.885843297298783,51.23454981010267,0.08081695103665851
2021-07-08,0.2811372387195097,0.8841915281833401,51.20037434242916,0.0808427332207501
2021-07-09,0.2826786897289662,0.8822644725007577,51.143791959948494,0.08053800240290854
2021-07-10,0.28422014073842267,0.8794215525126838,51.129353842699665,0.08025303112961514
2021-07-11,0.28576159174787913,0.8774513716420738,51.1046109291521,0.07911076585366641
2021-07-12,0.2873030427573356,0.8760194254917943,51.01889437383574,0.07902059302066058
2021-07-13,0.28884449376679205,0.8755973884847591,51.06498993474264,0.07917448795602158
2021-07-14,0.2903859447762486,0.8760453907638328,51.06039014860503,0.07893102533628713
2021-07-15,0.29192739578570504,0.8769586459665081,51.144966532369295,0.07875940128545353
2021-07-16,0.2934688467951615,0.8781428297410554,51.1147549525777,0.07886153035795017
2021-07-17,0.29501029780461796,0.8792811240714948,51.035817638263424,0.07817512679436539
2021-07-18,0.2965517488140745,0.880717546536557,51.01756775277893,0.07857037972879116
2021-07-19,0.29809319982353094,0.8812089756751919,50.857442938292095,0.07846208392882671
2021-07-20,0.2996346508329874,0.8799336128646315,50.82326747061858,0.07848783585663258
2021-07-21,0.30117610184244387,0.8783590011458201,50.76668508813792,0.07818303029052882
2021-07-22,0.3027175528519004,0.8757936854071314,50.75224697088909,0.0778979978978967
2021-07-23,0.30425900386135685,0.8740973337768587,50.72750405734153,0.07675561350992009
2021-07-24,0.3058004548708133,0.87291456181818,50.64178750202517,0.07666545385109752
2021-07-25,0.3073419058802698,0.8726525737774514,50.687883062932066,0.07681936858794168
2021-07-26,0.3088833568897263,0.8731368119913436,50.683283276794455,0.07657589051519742
2021-07-27,0.31042480789918275,0.8740562440204653,50.76785966055872,0.076404262986392
2021-07-28,0.3119662589086392,0.875111805938518,50.73764808076712,0.07650638982814635
2021-07-29,0.3135077099180957,0.8762486095871261,50.65871076645285,0.07581999028961495
2021-07-30,0.3150491609275522,0.8777811094660896,50.640460880968355,0.07621524503446511
2021-07-31,0.31659061193700866,0.8782297238300342,50.48033606648152,0.07610695445369332
2021-08-01,0.3181320629464651,0.8768369599442388,50.44616059880801,0.07613271204765557
2021-08-02,0.3196735139559216,0.8751671532455966,50.389578216327344,0.07582792047981143
2021-08-03,0.3212149649653781,0.8725265189558934,50.375140099078514,0.07554289953312261
2021-08-04,0.32275641597483457,0.8707436800534722,50.35039718553095,0.07440053745149858
2021-08-05,0.32429786698429103,0.8694878498155673,50.26468063021459,0.07431037532551982
2021-08-06,0.3258393179937475,0.8691263018763062,50.31077619112149,0.07446428635409981
2021-08-07,0.327380769003204,0.8695093548406412,50.30617640498388,0.07422081117527224
2021-08-08,0.32892222001266047,0.8703332682191794,50.390752788748145,0.0740491842977937
2021-08-09,0.33046367102211693,0.8713400733141685,50.36054120895655,0.07415131155730371
2021-08-10,0.3320051220315734,0.8724450465503427,50.281603894642274,0.07346491126499236
2021-08-11,0.3335465730410299,0.8739355014611132,50.26335400915778,0.07386016567080064
2021-08-12,0.3350880240504864,0.8743465595618501,50.103229194670945,0.07375187411262
2021-08-13,0.33662947505994284,0.8729205308330761,50.06905372699743,0.07377763064546958
2021-08-14,0.3381709260693993,0.8712091402167697,50.01247134451677,0.07347283645614279
2021-08-15,0.3397123770788558,0.8685359914178333,49.99803322726794,0.07318781336594882
2021-08-16,0.3412538280883123,0.8667297179841452,49.973290313720376,0.07204544710696861
2021-08-17,0.34279527909776875,0.8654485663679542,49.88757375840402,0.07195528544301923
2021-08-18,0.3443367301072252,0.8651080409803669,49.933669319310916,0.07210919716605342
2021-08-19,0.3458781811166817,0.8655515674716463,49.929069533173305,0.07186572144527617
2021-08-20,0.3474196321261382,0.8664412382887454,50.01364591693757,0.0716940944458223
2021-08-21,0.34896108313559465,0.867522371170217,49.98343433714597,0.07179622162709835
2021-08-22,0.3505025341450511,0.8686503550970768,49.9044970228317,0.07110982147594891
2021-08-23,0.35204398515450763,0.8701408758915216,49.886247137347205,0.07150507594525027
2021-08-24,0.3535854361639641,0.8705917839692954,49.72612232286037,0.07139678457011096
2021-08-25,0.35512688717342056,0.8692256371015066,49.691946855186856,0.07142254130167727
2021-08-26,0.356668338182877,0.8675731527248113,49.63536447270619,0.0711177476032809
