date,vaccination_ratio,reproduction_rate,stringency_index,positive_rate
2021-06-22,0.7906747593024759,0.023344382274878756,0.7510780150315536,0.09555066583947745
2021-06-23,0.7965466321507431,0.023461361321280214,0.75420455373241,0.03408199459559699
2021-06-24,0.8024185049990102,0.02312002160526515,0.7572670138638179,0.1821071950383021
2021-06-25,0.8082903778472774,0.02280627428930486,0.7364967427258133,-0.11617024015379857
2021-06-26,0.8141622506955446,0.02287912270994942,0.739434919902654,0.06997425887611382
2021-06-27,0.8200341235438118,0.022110433759293793,0.7184786681361996,0.05422392188191487
2021-06-28,0.825905996392079,0.021683065510759516,0.7212976033276426,0.017510119587739445
2021-06-29,0.8317778692403461,0.021468094516831848,0.7240587446994451,0.05859892845968541
2021-06-30,0.8376497420886135,0.020446063342978767,0.7267632771401963,0.07988265076620013
2021-07-01,0.8435216149368807,0.019726976820221963,0.7302688102835594,0.09175555145822684
2021-07-02,0.8493934877851479,0.018564419154962947,0.7338073648185741,-0.015572863569944084
2021-07-03,0.8552653606334151,0.017713234753351643,0.737286218307738,-0.03856190707132327
2021-07-04,0.8611372334816823,0.01734378268964175,0.7406953216672357,0.14704640337310315
2021-07-05,0.8670091063299494,0.017460762640654832,0.7440347242677747,-0.03979026536458666
2021-07-06,0.8728809791782166,0.01711942367145837,0.7473056860227103,0.1529443152671677
2021-07-07,0.8787528520264838,0.016805676972047778,0.725660442262335,0.030891115564188748
2021-07-08,0.884624724874751,0.016878525901696178,0.7287986595515266,0.12007636568881294
2021-07-09,0.8904965977230181,0.01610983737125793,0.7069562301488933,-0.061640842215740524
2021-07-10,0.8963684705712855,0.015682469469641774,0.7099670870934263,0.0032669476449856995
2021-07-11,0.9022403434195527,0.015467498762118677,0.712916215437843,0.09986755193149446
2021-07-12,0.9081122162678199,0.014445467824712102,0.7158048807415723,-0.000777564675003603
2021-07-13,0.9139840891160871,0.01372638149715803,0.719529656032736,0.056752906091859616
2021-07-14,0.9198559619643543,0.012563823993052175,0.723287720096863,0.12688282861548422
2021-07-15,0.9257278348126214,0.011712639724483801,0.7269821659809373,0.009559034974463101
2021-07-16,0.9315997076608886,0.011343187770609922,0.7306025130916997,0.04930670626892514
2021-07-17,0.9374715805091558,0.011460167812300127,0.7341488372718401,-0.04589427520083951
2021-07-18,0.943343453357423,0.011118828917963817,0.737622479370809,0.18965631421564214
2021-07-19,0.9492153262056902,0.010805082280355384,0.7175343272397479,-0.05737167935046579
2021-07-20,0.9550871990539573,0.01087793126102568,0.7208669995042456,0.08226683924321067
2021-07-21,0.9609590719022245,0.010109242772709493,0.7005772766708555,0.07123603213874337
2021-07-22,0.9668309447504919,0.009681874905867971,0.7037746968952265,0.05116320451805348
2021-07-23,0.9727028175987591,0.009466904227053702,0.7069065635984235,0.014959690874637555
2021-07-24,0.9785746904470263,0.008444873313348226,0.7099742207583954,0.0038439955498637338
2021-07-25,0.9844465632952935,0.0077257870053610254,0.7138253680435304,0.09102883543595833
2021-07-26,0.9903184361435606,0.006563229517408961,0.7177012181504056,0.033736676883693445
2021-07-27,0.9961903089918278,0.005712045262176642,0.7215103009932019,-0.031107399830139548
2021-07-28,1.002062181840095,0.005342593319312586,0.7252428448514957,0.17175784301981645
2021-07-29,1.0079340546883622,0.0054595733700921485,0.728899054507779,-0.000861556693496135
2021-07-30,1.0138059275366293,0.005118234483259725,0.732480327861609,0.11567293490922172
2021-07-31,1.0196778003848965,0.004804487851846262,0.7119632204331905,-0.042769849580081745
2021-08-01,1.0255496732331637,0.004877336837630929,0.7153991556985779,0.11546221078832279
2021-08-02,1.031421546081431,0.004108648353537003,0.6946747547649933,-0.02359702920956716
2021-08-03,1.0372934189296983,0.003681280490181245,0.6979712471953938,0.006996995960200363
2021-08-04,1.0431652917779655,0.0034663098142447145,0.7012001549258304,0.127445765973367
2021-08-05,1.0490371646262326,0.0024442789029150078,0.7043628635775201,0.04412132809091965
2021-08-06,1.0549090374744998,0.0017251925968891637,0.7083263677109402,0.027904947421652004
2021-08-07,1.060780910322767,0.0005626351105563348,0.7123146292324353,0.05638286849806025
2021-08-08,1.0666527831710342,-0.00028854914333919547,0.7162341076348795,0.0034777380226153967
2021-08-09,1.0725246560193014,-0.0006580010850996414,0.7200748190933413,0.07555437994683789
2021-08-10,1.0783965288675685,-0.0005410210334089723,0.7238369830291894,-0.04688486762671379
2021-08-11,1.0842684017158357,-0.0008823599194892162,0.7275220389180806,0.21691782083427905
2021-08-12,1.090140274564103,-0.0011961065502817036,0.7069973095526396,-0.007550663278419495
2021-08-13,1.09601214741237,-0.001123257563984378,0.7105328155479558,0.06019379468670742
2021-08-14,1.1018840202606375,-0.00189194604765507,0.6897963718159904,0.007729276546518733
2021-08-15,1.1077558931089047,-0.0023193139106614195,0.6931883940311908,0.04221325532918728
2021-08-16,1.1136277659571718,-0.002534284586309489,0.6965108729944229,0.03320928189134208
2021-08-17,1.119499638805439,-0.003556315497401052,0.6997652344811319,-0.0036591313887962343
2021-08-18,1.1253715116537062,-0.004275401803230293,0.7038224497074187,0.1186874000445105
2021-08-19,1.1312433845019734,-0.0054379592894008115,0.7079029832723789,0.08508795159816686
2021-08-20,1.1371152573502405,-0.006289143543162344,0.7119129010148811,-0.04518898762636131
2021-08-21,1.1429871301985077,-0.006658595484812166,0.7158422048587546,0.11385393492810272
2021-08-22,1.148859003046775,-0.006541615433030168,0.7196911457444384,-0.009906484916305684
2021-08-23,1.154730875895042,-0.006882954319035015,0.7234611995902959,0.1258094813606056
