date,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-01-01,0.0,0.0,1.0,0.0,0.0
2020-01-02,0.0,0.0,0.979288604474751,0.0,0.0
2020-01-03,0.0,0.0,0.9585772089495016,0.0,0.0
2020-01-04,0.0,0.0,0.9378658134242522,0.0,0.0
2020-01-05,0.0,0.0,0.9171544178990031,0.0,0.0
2020-01-06,0.0,0.0,0.8964430223737538,0.016321502810070058,0.0
2020-01-07,0.0,0.0,0.8757316268485045,0.28562629917622606,0.0
2020-01-08,0.0,0.0,0.8550202313232553,0.04080375702517514,0.0
2020-01-09,0.0,0.0,0.8343088357980061,0.032643005620140116,0.0
2020-01-10,0.0,0.0,0.8135974402727567,0.21625991223342825,0.0
2020-01-11,0.0,0.0,0.7928860447475076,0.04896450843021018,0.0
2020-01-12,0.0,0.0,0.7721746492222583,0.11833089537300791,0.0
2020-01-13,0.0,0.0,0.751463253697009,0.12241127107552544,0.0
2020-01-14,0.0,0.0,0.7307518581717598,0.057125259835245204,0.0
2020-01-15,0.0,0.0,0.7100404626465106,0.08160751405035029,0.0
2020-01-16,0.0,0.0,0.6893290671212612,0.08160751405035029,0.020594253503757164
2020-01-17,0.0,0.0,0.668617671596012,0.02448225421510509,0.020594253503757164
2020-01-18,0.0,0.0,0.6479062760707628,0.02448225421510509,0.010297126751878582
2020-01-19,0.0,0.0,0.6271948805455134,0.20401878512587573,0.020594253503757164
2020-01-20,0.0,0.0,0.6064834850202643,0.13601252341725048,0.03434023783519652
2020-01-21,0.0,0.0,0.585772089495015,0.032643005620140116,0.028616864862663766
2020-01-22,0.0,0.0,0.5650606939697659,0.02040187851258757,0.05914289421580522
2020-01-23,0.0,4.448312542307319e-05,0.4439932139912887,0.02448225421510509,0.12065850904837318
2020-01-24,0.0,0.0004003481288076588,0.47087561561966745,0.04896450843021018,0.0932565854055807
2020-01-25,0.0,0.0006100542915164324,0.49602366875589293,0.04896450843021018,0.13086704507389507
2020-01-26,0.0,0.0005719258982966553,0.5064297597088138,0.04896450843021018,0.149806797078033
2020-01-27,0.0,0.0010294666169339795,0.5133671536774276,0.18769728231580568,0.13592701772347765
2020-01-28,0.0,0.001944548054208628,0.5107656309391975,0.09248851592373034,0.14508070603051978
2020-01-29,0.0,3.812839321977702e-05,0.4604695246667467,0.1958580337208407,0.15010228312216767
2020-01-30,0.0,0.0014870073355713039,0.4257825548236773,0.18116868119177765,0.1536089026044946
2020-01-31,0.0,0.0016395209084504121,0.3910955849806078,0.32153360535838016,0.15799317229869606
2020-02-01,0.0,0.001830162874549297,0.367681880336536,0.23666179074601587,0.16881683994576452
2020-02-02,0.0,0.003836669567740062,0.34947122116892443,0.08976826545538533,0.1545187087616834
2020-02-03,0.0,0.0022019147084421232,0.31304990283370154,0.17749634305951187,0.17257808284820517
2020-02-04,0.0,0.005931083389743092,0.27662858449847866,0.15995072753868655,0.17983355564196113
2020-02-05,0.0,0.00222415627115366,0.2532148798544068,0.14553340005645804,0.17454433341719758
2020-02-06,0.0,0.0021648454372562285,0.21852791001133742,0.15233402622732056,0.17446310072459142
2020-02-07,0.0,0.0026096766914869606,0.19598137961334228,0.17487324439360777,0.16967657647307274
2020-02-08,0.0,0.0026689875253843916,0.1769035461996541,0.10744989349962789,0.1737024152635123
2020-02-09,0.0,0.003084163362666408,0.16389593250850304,0.16204920647140986,0.16325210618089378
2020-02-10,0.0,0.0032917512813074156,0.15869288703204265,0.16321502810070057,0.17308434042846552
2020-02-11,0.0,0.003084163362666408,0.15695853853988911,0.0907883593810147,0.17308434042846557
2020-02-12,0.0,0.0001482770847435773,0.17170050072319365,0.12331802123164044,0.17493856493360574
2020-02-13,0.0,0.006551151198670779,0.1942470311211888,0.2876664870274848,0.17772157216384324
2020-02-14,0.0,0.0038579001503283475,0.15609136429381243,0.2886865809531141,0.17304468868584735
2020-02-15,0.0,0.0036920994101150755,0.11273265198997563,0.19935549860871288,0.16345516637670057
2020-02-16,0.0,0.003059070317555956,0.07891285639298294,0.18536563905722422,0.17364649839365598
2020-02-17,0.0,0.002094128673763138,0.05463197750283434,0.23768188467164522,0.17271546582836703
2020-02-18,0.0,0.0031411930106447074,0.032085447104839196,0.2835861113249673,0.17271546582836697
2020-02-19,0.0,0.005242654067719341,0.017343484921534702,0.19119474720367785,0.16839757918265782
2020-02-20,0.0,0.002633401025045933,0.0,0.16049477763235556,0.17266598891849452
2020-02-21,0.0,0.0011009573542210616,0.30466721845495986,0.17862978075465563,0.17754935440092479
2020-02-22,0.0,0.0038464820218775055,0.24454313739363948,0.1994850343453007,0.18272646694781622
2020-02-23,0.0,0.0021665898735473295,0.19251268262903531,0.2717530217876664,0.17899447222953405
2020-02-24,0.0,0.005118176078090069,0.23136208885327308,0.2522414070647191,0.1920068395730894
2020-02-25,0.0,0.0036423829758186993,0.20916242815370867,0.24482254215105084,0.19603310977313146
2020-02-26,0.0,0.002982986057782555,0.20916242815370867,0.17211766599710243,0.19664304186370454
2020-02-27,0.0,0.0038621819484974144,0.30033134722457605,0.15913465239818306,0.20137650719366398
2020-02-28,0.0,0.0036580829024386073,0.2844331527131693,0.15913465239818306,0.19811298117125906
2020-02-29,0.0,0.005856944847371304,0.27605046833442765,0.1404815063295316,0.20484693389161207
2020-03-01,0.0,0.004924281984334203,0.2623202094382125,0.1506600259391082,0.2100582795160752
2020-03-02,0.0,0.01088946910356832,0.2695948378358563,0.20510688531321372,0.2164055500229553
