date,vaccination_ratio,reproduction_rate,stringency_index,positive_rate
2021-06-22,0.7321423432799565,0.06987524075330123,0.6391612595745403,0.6953341627732083
2021-06-23,0.7364054044561066,0.06962779048812451,0.6381304699380981,0.6914163082085043
2021-06-24,0.7406684656322566,0.06924491867416449,0.6378302404622067,0.6931835337283447
2021-06-25,0.7449315268084067,0.06910532047872008,0.6357290502955957,0.6921886786289853
2021-06-26,0.749194587984557,0.06904248767808885,0.6352242395170994,0.6935097807955352
2021-06-27,0.753457649160707,0.06972811811010476,0.634418380420292,0.6931334283015833
2021-06-28,0.7577207103368571,0.06942323357048139,0.6341237148988582,0.6915110213887269
2021-06-29,0.7619837715130071,0.06920313002772084,0.6337848990839251,0.6862235090789802
2021-06-30,0.7662468326891572,0.06920895660902279,0.632659094707523,0.6874513199696118
2021-07-01,0.7705098938653074,0.06900385534535683,0.6332022874058036,0.6850123591254119
2021-07-02,0.7747729550414575,0.06880287628687722,0.6331287657531964,0.6825894694460892
2021-07-03,0.7790360162176075,0.06878108520808582,0.6341782475255409,0.6814390441126147
2021-07-04,0.7832990773937576,0.06821158337360624,0.6337420397473055,0.6818128344856724
2021-07-05,0.7875621385699076,0.06796413310823383,0.6327112501108633,0.6778949937234585
2021-07-06,0.7918251997460579,0.06758126129393424,0.6324110206349719,0.6796620614354717
2021-07-07,0.796088260922208,0.06744166309849135,0.6303098304683609,0.6786672172983946
2021-07-08,0.800351322098358,0.06737883029785714,0.6298050196898646,0.6799884979899448
2021-07-09,0.8046143832745081,0.06806446072993608,0.6289991605930572,0.6796123243914807
2021-07-10,0.8088774444506581,0.06775957619030752,0.6287044950716234,0.6779899400471782
2021-07-11,0.8131405056268084,0.06753947264753782,0.6283656792566903,0.672702498451267
2021-07-12,0.8174035668029584,0.06754529922884667,0.6272398748802882,0.6739303530057953
2021-07-13,0.8216666279791085,0.06734019796518166,0.6277830675785688,0.6714914386185479
2021-07-14,0.8259296891552586,0.06713921890670135,0.6277095459259616,0.6690685690455548
2021-07-15,0.8301927503314086,0.06711742782792147,0.628759027698306,0.6679181159399499
2021-07-16,0.8344558115075589,0.06654792599341865,0.6283228199200707,0.6682918811577779
2021-07-17,0.8387188726837089,0.06630047572805667,0.6272920302836285,0.6643740573878042
2021-07-18,0.842981933859859,0.06591760391377516,0.6269918008077371,0.666141148298679
2021-07-19,0.847244995036009,0.06577800571833219,0.624890610641126,0.6651463067728121
2021-07-20,0.8515080562121591,0.06571517291769813,0.6243857998626298,0.6664675782519254
2021-07-21,0.8557711173883094,0.06640080334977372,0.6235799407658223,0.6660914123312703
2021-07-22,0.8600341785644594,0.06609591881014543,0.6232852752443886,0.6644690456960519
2021-07-23,0.8642972397406095,0.06587581526737621,0.6229464594294555,0.65918162286299
2021-07-24,0.8685603009167595,0.0658816418486847,0.6218206550530534,0.6604094746319267
2021-07-25,0.8728233620929096,0.06567654058501965,0.622363847751334,0.6579705541303171
2021-07-26,0.8770864232690598,0.06547556152653937,0.6222903260987268,0.6555476879974148
2021-07-27,0.8813494844452099,0.06545377044775887,0.6233398078710712,0.6543972401435115
2021-07-28,0.8856125456213599,0.06488426861325727,0.6229036000928359,0.6547710044580298
2021-07-29,0.88987560679751,0.06463681834789474,0.6218728104563936,0.6508531772556185
2021-07-30,0.89413866797366,0.06425394653361227,0.6215725809805023,0.6526202676848206
2021-07-31,0.8984017291498103,0.0641143483381693,0.6194713908138912,0.651625429095419
2021-08-01,0.9026647903259604,0.06405151553753523,0.618966580035395,0.6529467024748374
2021-08-02,0.9069278515021104,0.06473714596961101,0.6181607209385875,0.6525705363263739
2021-08-03,0.9111909126782605,0.0644322614299827,0.6178660554171538,0.6509481691324982
2021-08-04,0.9154539738544105,0.06421215788721345,0.6175272396022207,0.6456607480681222
2021-08-05,0.9197170350305608,0.06421798446852195,0.6164014352258186,0.6468886011506041
2021-08-06,0.9239800962067108,0.0640128832048569,0.6169446279240992,0.6444496806094971
2021-08-07,0.9282431573828609,0.06381190414637661,0.616871106271492,0.6420268138787341
2021-08-08,0.932506218559011,0.06379011306759615,0.6179205880438364,0.6408763658423099
2021-08-09,0.936769279735161,0.06322061123309448,0.617484380265601,0.6412501304985845
2021-08-10,0.9410323409113113,0.06297316096773198,0.6164535906291588,0.6373323035891618
2021-08-11,0.9452954020874613,0.06259028915344957,0.6161533611532675,0.6390993938735432
2021-08-12,0.9495584632636114,0.062450690958006594,0.6140521709866564,0.6381045550975345
2021-08-13,0.9538215244397614,0.062387858157372536,0.6135473602081601,0.6394258285770709
2021-08-14,0.9580845856159115,0.06307348858944829,0.6127415011113527,0.6390496627107191
2021-08-15,0.9623476467920618,0.06276860404981997,0.612446835589919,0.637427295621016
2021-08-16,0.9666107079682118,0.06254850050705073,0.6121080197749859,0.6321398745665391
2021-08-17,0.9708737691443619,0.06255432708835923,0.6109822153985838,0.6333677276127094
2021-08-18,0.9751368303205119,0.06234922582469418,0.6115254080968644,0.6309288071283453
2021-08-19,0.979399891496662,0.06214824676621389,0.6114518864442572,0.628505940474421
2021-08-20,0.9836629526728122,0.06212645568743343,0.6125013682166016,0.6273554924215798
2021-08-21,0.9879260138489623,0.06155695385293177,0.6120651604383662,0.6277292570166911
2021-08-22,0.9921890750251123,0.061309503587569265,0.611034370801924,0.6238114301041284
2021-08-23,0.9964521362012624,0.060926631773286846,0.6107341413260327,0.625578520430459
2021-08-24,1.0007151973774127,0.060787033577843874,0.6086329511594216,0.6245836816767536
2021-08-25,1.0049782585535627,0.060724200777209816,0.6081281403809253,0.6259049551398191
