,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-04-22,0.0,8.112,0.82,0.0,78.7
2020-04-23,0.0,7.237,0.78,0.0,78.7
2020-04-24,0.0,6.536,0.74,0.0,78.7
2020-04-25,0.0,7.003,0.71,0.0,78.7
2020-04-26,0.0,3.91,0.68,0.129,78.7
2020-04-27,0.0,2.51,0.65,0.0,78.7
2020-04-28,0.0,2.801,0.63,0.0,78.7
2020-04-29,0.0,8.462,0.62,0.0,78.7
2020-04-30,0.0,4.902,0.62,0.0,78.7
2020-05-01,0.0,5.719,0.62,0.0,78.7
2020-05-02,0.0,5.486,0.63,0.0,78.7
2020-05-03,0.0,4.027,0.63,0.1,78.7
2020-05-04,0.0,1.517,0.63,0.0,78.7
2020-05-05,0.0,5.077,0.65,0.0,78.7
2020-05-06,0.0,2.101,0.65,0.0,78.7
2020-05-07,0.0,4.961,0.66,0.0,78.7
2020-05-08,0.0,4.144,0.65,0.0,78.7
2020-05-09,0.0,3.735,0.65,0.0,78.7
2020-05-10,0.0,1.05,0.65,0.071,78.7
2020-05-11,0.0,0.934,0.65,0.0,71.3
2020-05-12,0.0,3.151,0.66,0.0,71.3
2020-05-13,0.0,3.035,0.66,0.0,71.3
2020-05-14,0.0,1.634,0.65,0.0,71.3
2020-05-15,0.0,3.093,0.65,0.0,71.3
2020-05-16,0.0,1.576,0.65,0.0,71.3
2020-05-17,0.0,0.584,0.66,0.051,71.3
2020-05-18,0.0,0.817,0.69,0.0,71.3
2020-05-19,0.0,1.226,0.73,0.0,71.3
2020-05-20,0.0,1.926,0.77,0.0,71.3
2020-05-21,0.0,1.576,0.8,0.0,71.3
2020-05-22,0.0,0.759,0.81,0.0,71.3
2020-05-23,0.0,1.342,0.83,0.0,71.3
2020-05-24,0.0,0.642,0.85,0.055,71.3
2020-05-25,0.0,0.467,0.87,0.0,71.3
2020-05-26,0.0,1.517,0.87,0.0,71.3
2020-05-27,0.0,0.875,0.86,0.0,71.3
2020-05-28,0.0,1.868,0.84,0.0,71.3
2020-05-29,0.0,1.634,0.84,0.0,71.3
2020-05-30,0.0,1.167,0.84,0.0,71.3
2020-05-31,0.0,0.292,0.85,0.038,71.3
2020-06-01,0.0,0.35,0.85,0.0,62.96
2020-06-02,0.0,0.292,0.87,0.0,62.96
2020-06-03,0.0,0.584,0.91,0.0,62.96
2020-06-04,0.0,0.759,0.98,0.0,62.96
2020-06-05,0.0,0.875,1.03,0.0,62.96
2020-06-06,0.0,0.35,1.05,0.0,62.96
2020-06-07,0.0,0.117,1.06,0.021,62.96
2020-06-08,0.0,0.175,1.05,0.0,62.96
2020-06-09,0.0,0.875,1.03,0.0,62.96
2020-06-10,0.0,0.642,1.01,0.0,62.96
2020-06-11,0.0,0.117,0.98,0.0,62.96
2020-06-12,0.0,0.525,0.96,0.0,62.96
2020-06-13,0.0,0.233,0.93,0.0,62.96
2020-06-14,0.0,0.117,0.89,0.016,62.96
2020-06-15,0.0,0.35,0.87,0.0,59.26
2020-06-16,0.0,0.292,0.83,0.0,59.26
2020-06-17,0.0,0.233,0.78,0.0,59.26
2020-06-18,0.0,0.233,0.73,0.0,59.26
2020-06-19,0.0,0.175,0.69,0.0,59.26
2020-06-20,0.0,0.467,0.67,0.0,59.26
2020-06-21,0.0,0.058,0.67,0.009,59.26
2020-06-22,0.0,0.0,0.68,0.0,59.26
2020-06-23,0.0,0.292,0.7,0.0,59.26
2020-06-24,0.0,0.117,0.72,0.0,59.26
2020-06-25,0.0,0.175,0.74,0.0,59.26
2020-06-26,0.0,0.175,0.74,0.0,59.26
2020-06-27,0.0,0.117,0.73,0.0,59.26
