,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-01-01,0.0,0.07139942880456956,1.0,0.0,
2020-01-02,0.0,0.07139942880456956,0.991114660709915,0.0,
2020-01-03,0.0,0.07139942880456956,0.9822293214198299,0.0,
2020-01-04,0.0,0.07139942880456956,0.9733439821297452,0.0,
2020-01-05,0.0,0.07139942880456956,0.96445864283966,0.0,
2020-01-06,0.0,0.07139942880456956,0.955573303549575,0.0,
2020-01-07,0.0,0.07139942880456956,0.9466879642594901,0.0,
2020-01-08,0.0,0.07139942880456956,0.9378026249694051,0.0,
2020-01-09,0.0,0.07139942880456956,0.9289172856793202,0.0,
2020-01-10,0.0,0.07139942880456956,0.9200319463892352,0.0,
2020-01-11,0.0,0.07139942880456956,0.9111466070991501,0.0,
2020-01-12,0.0,0.07139942880456956,0.9022612678090653,0.0,
2020-01-13,0.0,0.07139942880456956,0.8933759285189802,0.0,
2020-01-14,0.0,0.07139942880456956,0.8844905892288952,0.0,
2020-01-15,0.0,0.07139942880456956,0.8756052499388103,0.0,
2020-01-16,0.0,0.07139942880456956,0.8667199106487253,0.0,
2020-01-17,0.0,0.07139942880456956,0.8578345713586402,0.0,
2020-01-18,0.0,0.07139942880456956,0.8489492320685554,0.0,
2020-01-19,0.0,0.07139942880456956,0.8400638927784703,0.0,
2020-01-20,0.0,0.07139942880456956,0.8311785534883855,0.0,
2020-01-21,0.0,0.07139942880456956,0.8222932141983004,0.0,
2020-01-22,0.0,0.07139942880456956,0.8134078749082154,0.0,
2020-01-23,0.0,0.07139942880456956,0.8045225356181305,0.0,
2020-01-24,0.0,0.07139942880456956,0.7956371963280455,0.0,
2020-01-25,0.0,0.07139942880456956,0.7867518570379604,0.0,
2020-01-26,0.0,0.07139942880456956,0.7778665177478756,0.0,
2020-01-27,0.0,0.07139942880456956,0.7689811784577905,0.0,
2020-01-28,0.0,0.07139942880456956,0.7600958391677055,0.0,
2020-01-29,0.0,0.07139942880456956,0.7512104998776206,0.0,
2020-01-30,0.0,0.07139942880456956,0.7423251605875356,0.0,
2020-01-31,0.0,0.07139942880456956,0.7334398212974504,0.0,
2020-02-01,0.0,0.07139942880456956,0.7245544820073657,0.0,
2020-02-02,0.0,0.07139942880456956,0.7156691427172805,0.0,
2020-02-03,0.0,0.07139942880456956,0.7067838034271956,0.0,
2020-02-04,0.0,0.07139942880456956,0.6978984641371107,0.0,
2020-02-05,0.0,0.07139942880456956,0.6890131248470257,0.0,
2020-02-06,0.0,0.07139942880456956,0.6801277855569408,0.0,
2020-02-07,0.0,0.07139942880456956,0.6712424462668558,0.0,
2020-02-08,0.0,0.07139942880456956,0.6623571069767706,0.0,
2020-02-09,0.0,0.07139942880456956,0.6534717676866857,0.0,
2020-02-10,0.0,0.07139942880456956,0.6445864283966007,0.0,
2020-02-11,0.0,0.07139942880456956,0.6357010891065158,0.0,
2020-02-12,0.0,0.07139942880456956,0.6268157498164308,0.0,
2020-02-13,0.0,0.07139942880456956,0.6179304105263459,0.0,
2020-02-14,0.0,0.07139942880456956,0.609045071236261,0.0,
2020-02-15,0.0,0.07139942880456956,0.600159731946176,0.0,
2020-02-16,0.0,0.07139942880456956,0.591274392656091,0.0,
2020-02-17,0.0,0.07139942880456956,0.5823890533660059,0.0,
2020-02-18,0.0,0.07139942880456956,0.5735037140759209,0.0,
2020-02-19,0.0,0.07139942880456956,0.564618374785836,0.0,
2020-02-20,0.0,0.07139942880456956,0.555733035495751,0.0,
2020-02-21,0.0,0.07139942880456956,0.5468476962056661,0.0,
2020-02-22,0.0,0.07139942880456956,0.5379623569155811,0.0,
2020-02-23,0.0,0.07139942880456956,0.529077017625496,0.0,
2020-02-24,0.0,0.07139942880456956,0.5201916783354112,0.0,
2020-02-25,0.0,0.07139942880456956,0.5113063390453261,0.0,
