,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-01-01,0.0,0.08655402994904818,1.0,0.0,
2020-01-02,0.0,0.08655402994904818,0.9908914338398838,0.0,
2020-01-03,0.0,0.08655402994904818,0.9817828676797675,0.0,
2020-01-04,0.0,0.08655402994904818,0.9726743015196513,0.0,
2020-01-05,0.0,0.08655402994904818,0.9635657353595353,0.0,
2020-01-06,0.0,0.08655402994904818,0.954457169199419,0.0,0.0
2020-01-07,0.0,0.08655402994904818,0.9453486030393028,0.0,
2020-01-08,0.0,0.08655402994904818,0.9362400368791866,0.0,
2020-01-09,0.0,0.08655402994904818,0.9271314707190703,0.0,
2020-01-10,0.0,0.08655402994904818,0.9180229045589543,0.0,
2020-01-11,0.0,0.08655402994904818,0.9089143383988381,0.0,
2020-01-12,0.0,0.08655402994904818,0.899805772238722,0.0,
2020-01-13,0.0,0.08655402994904818,0.8906972060786058,0.0,
2020-01-14,0.0,0.08655402994904818,0.8815886399184896,0.0,
2020-01-15,0.0,0.08655402994904818,0.8724800737583733,0.0,
2020-01-16,0.0,0.08655402994904818,0.8633715075982571,0.0,
2020-01-17,0.0,0.08655402994904818,0.854262941438141,0.0,
2020-01-18,0.0,0.08655402994904818,0.8451543752780247,0.0,0.0
2020-01-19,0.0,0.08655402994904818,0.8360458091179086,0.0,
2020-01-20,0.0,0.08655402994904818,0.8269372429577924,0.0,
2020-01-21,0.0,0.08655402994904818,0.8178286767976761,0.0,
2020-01-22,0.0,0.08655402994904818,0.80872011063756,0.0,
2020-01-23,0.0,0.08655402994904818,0.7996115444774438,0.0,
2020-01-24,0.0,0.08655402994904818,0.7905029783173276,0.0,0.027689804238365336
2020-01-25,0.0,0.08655402994904818,0.7813944121572114,0.0,0.06922451059591334
2020-01-26,0.0,0.08655402994904818,0.7722858459970952,0.0,0.06922451059591334
2020-01-27,0.0,0.08655402994904818,0.763177279836979,0.0,0.06922451059591334
2020-01-28,0.0,0.08655402994904818,0.7540687136768628,0.0,0.06922451059591334
2020-01-29,0.0,0.08655402994904818,0.7449601475167466,0.0,0.06922451059591334
2020-01-30,0.0,0.08655402994904818,0.7358515813566304,0.0,0.06922451059591334
2020-01-31,0.0,0.08655402994904818,0.7267430151965142,0.0,0.10952247209988929
