date,vaccination_ratio,new_deaths_per_million,reproduction_rate,positive_rate,stringency_index
2020-01-01,0.0,0.0,6.305853889943075,0.0,0.0
2020-01-02,0.0,0.0,6.186435009487667,0.0,0.0
2020-01-03,0.0,0.0,6.067016129032258,0.0,0.0
2020-01-04,0.0,0.0,5.947597248576851,0.0,0.0
2020-01-05,0.0,0.0,5.828178368121443,0.0,0.0
2020-01-06,0.0,0.0,5.708759487666035,0.002,0.0
2020-01-07,0.0,0.0,5.589340607210627,0.035,0.0
2020-01-08,0.0,0.0,5.469921726755219,0.005,0.0
2020-01-09,0.0,0.0,5.350502846299811,0.004,0.0
2020-01-10,0.0,0.0,5.231083965844403,0.0265,0.0
2020-01-11,0.0,0.0,5.111665085388995,0.006,0.0
2020-01-12,0.0,0.0,4.992246204933587,0.014499999999999999,0.0
2020-01-13,0.0,0.0,4.872827324478179,0.015,0.0
2020-01-14,0.0,0.0,4.753408444022771,0.007,0.0
2020-01-15,0.0,0.0,4.633989563567363,0.01,0.0
2020-01-16,0.0,0.0,4.5145706831119545,0.01,1.666
2020-01-17,0.0,0.0,4.395151802656547,0.003,1.666
2020-01-18,0.0,0.0,4.275732922201139,0.003,0.833
2020-01-19,0.0,0.0,4.1563140417457305,0.025,1.666
2020-01-20,0.0,0.0,4.036895161290323,0.016666666666666666,2.778
2020-01-21,0.0,0.0,3.917476280834915,0.004,2.315
2020-01-22,0.0,0.0,3.7980574003795073,0.0025,4.7844444444444445
2020-01-23,0.0,0.00016666666666666666,3.1,0.003,9.760833333333332
2020-01-24,0.0,0.0015000000000000002,3.255,0.006,7.544117647058823
2020-01-25,0.0,0.002285714285714286,3.4000000000000004,0.006,10.586666666666668
2020-01-26,0.0,0.002142857142857143,3.46,0.006,12.118823529411763
2020-01-27,0.0,0.003857142857142857,3.5,0.023000000000000003,10.995999999999999
2020-01-28,0.0,0.007285714285714285,3.4850000000000003,0.011333333333333334,11.7365
2020-01-29,0.0,0.00014285714285714287,3.1950000000000003,0.024,12.142727272727273
2020-01-30,0.0,0.005571428571428572,2.995,0.0222,12.4264
2020-01-31,0.0,0.0061428571428571435,2.795,0.039400000000000004,12.781071428571424
2020-02-01,0.0,0.006857142857142858,2.66,0.029000000000000005,13.656666666666668
2020-02-02,0.0,0.014374999999999997,2.5549999999999997,0.011000000000000001,12.499999999999998
2020-02-03,0.0,0.00825,2.3449999999999998,0.02175,13.9609375
2020-02-04,0.0,0.022222222222222223,2.135,0.0196,14.547878787878787
2020-02-05,0.0,0.008333333333333335,2.0,0.017833333333333336,14.120000000000001
2020-02-06,0.0,0.00811111111111111,1.8,0.018666666666666668,14.113428571428571
2020-02-07,0.0,0.009777777777777778,1.67,0.02142857142857143,13.726216216216216
2020-02-08,0.0,0.01,1.56,0.013166666666666667,14.051891891891891
2020-02-09,0.0,0.011555555555555557,1.4849999999999999,0.019857142857142858,13.206500000000002
2020-02-10,0.0,0.012333333333333332,1.455,0.02,14.001891891891887
2020-02-11,0.0,0.011555555555555557,1.4449999999999998,0.011125000000000001,14.001891891891892
2020-02-12,0.0,0.0005555555555555556,1.53,0.015111111111111112,14.15189189189189
2020-02-13,0.0,0.024545454545454547,1.6600000000000001,0.035250000000000004,14.377027027027028
2020-02-14,0.0,0.014454545454545454,1.44,0.035375,13.998684210526317
2020-02-15,0.0,0.013833333333333336,1.19,0.02442857142857143,13.222926829268292
2020-02-16,0.0,0.01146153846153846,0.995,0.022714285714285715,14.04736842105263
2020-02-17,0.0,0.007846153846153846,0.855,0.029125,13.972051282051284
2020-02-18,0.0,0.011769230769230771,0.725,0.03475,13.97205128205128
2020-02-19,0.0,0.019642857142857146,0.64,0.02342857142857143,13.62275
2020-02-20,0.0,0.009866666666666666,0.54,0.019666666666666666,13.9680487804878
2020-02-21,0.0,0.004125,2.296666666666667,0.02188888888888889,14.363095238095237
2020-02-22,0.0,0.014411764705882353,1.95,0.024444444444444446,14.78190476190476
2020-02-23,0.0,0.00811764705882353,1.65,0.033299999999999996,14.479999999999999
2020-02-24,0.0,0.019176470588235295,1.874,0.03090909090909091,15.53265306122449
2020-02-25,0.0,0.013647058823529413,1.746,0.029999999999999995,15.858363636363634
2020-02-26,0.0,0.011176470588235295,1.746,0.02109090909090909,15.907704918032785
2020-02-27,0.0,0.01447058823529412,2.271666666666666,0.0195,16.290625000000006
2020-02-28,0.0,0.013705882352941177,2.18,0.0195,16.026617647058824
2020-02-29,0.0,0.021944444444444447,2.1316666666666673,0.017214285714285717,16.571369863013697
2020-03-01,0.0,0.01845,2.0524999999999998,0.01846153846153846,16.99294871794872
2020-03-02,0.0,0.04080000000000001,2.0944444444444446,0.025133333333333334,17.506419753086416
2020-03-03,0.0,1.3741363636363637,2.120909090909091,0.02776470588235294,17.554235294117642
2020-03-04,0.0,0.04752173913043479,2.017272727272727,0.02441176470588236,17.53588888888888
2020-03-05,0.0,0.05204166666666666,2.1075000000000004,0.029578947368421055,19.338586956521734
2020-03-06,0.0,0.059296296296296284,2.1492307692307695,0.04626315789473685,19.79857142857142
2020-03-07,0.0,0.05055555555555554,2.245294117647059,0.05937499999999999,20.019494949494938
2020-03-08,0.0,0.14679310344827584,2.2141176470588233,0.05615384615384615,20.56742574257425
2020-03-09,0.0,0.0986451612903226,2.243888888888889,0.055740740740740743,21.669903846153844
2020-03-10,0.0,1.014470588235294,2.251578947368421,0.05461290322580644,24.6238679245283
2020-03-11,0.0,0.17807142857142855,2.2,0.05779411764705883,26.37625
